source_file,source_line,source_kind,product_id,url,classification,partner,audit_status,observed_status,last_checked
"src/pages/guides/best-3-person-sauna.astro","24","amazon_asin","B000R2PTHG","https://www.amazon.com/s?k=Almost+Heaven+Allegheny+barrel+sauna&tag=backyardsauna-20&ascsubtag=bsp_best-3-person-sauna","affiliate","amazon","availability_search","not_found","2026-08-15"
"src/pages/guides/best-3-person-sauna.astro","37","amazon_asin","B00A2F99F0","https://www.amazon.com/dp/B00A2F99F0?tag=backyardsauna-20&ascsubtag=bsp_best-3-person-sauna","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/guides/best-3-person-sauna.astro","65","amazon_asin","B003Z11AXM","https://www.amazon.com/s?k=Almost+Heaven+6+person+barrel+sauna&tag=backyardsauna-20&ascsubtag=bsp_best-3-person-sauna","affiliate","amazon","availability_search","unavailable","2026-08-15"
"src/pages/guides/best-4-person-outdoor-sauna.astro","11","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/guides/best-4-person-outdoor-sauna.astro","26","amazon_asin","B0DPG3R7PR","https://www.amazon.com/s?k=outdoor+barrel+sauna+wood+stove+kit&tag=backyardsauna-20&ascsubtag=bsp_best-4-person-outdoor-sauna","affiliate","amazon","availability_search","no_featured_offer","2026-08-15"
"src/pages/guides/best-4-person-outdoor-sauna.astro","40","amazon_asin","B003Z11AXM","https://www.amazon.com/s?k=Almost+Heaven+6+person+barrel+sauna&tag=backyardsauna-20&ascsubtag=bsp_best-4-person-outdoor-sauna","affiliate","amazon","availability_search","unavailable","2026-08-15"
"src/pages/guides/best-4-person-sauna.astro","75","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/guides/best-4-person-sauna.astro","87","amazon_asin","B003Z11AXM","https://www.amazon.com/s?k=Almost+Heaven+6+person+barrel+sauna&tag=backyardsauna-20&ascsubtag=bsp_best-4-person-sauna","affiliate","amazon","availability_search","unavailable","2026-08-15"
"src/pages/guides/best-4-person-sauna.astro","107","amazon_asin","B0B7TRM95Y","https://selectsaunas.com/products/harvia-kip60b-6-0kw-electric-sauna-heater-w-built-in-controls?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_not_found_alternate_available","2026-08-15"
"src/pages/guides/best-5-person-sauna.astro","83","amazon_asin","B003Z11AXM","https://www.amazon.com/s?k=Almost+Heaven+6+person+barrel+sauna&tag=backyardsauna-20&ascsubtag=bsp_best-5-person-sauna","affiliate","amazon","availability_search","unavailable","2026-08-15"
